"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy","type"
"50-55","2015","woman",0.475494191039511,0.524505808960489,0.441323794065886,0.509664588013136,0.490335411986864,0.558676205934114,"at least one"
"55-60","2015","woman",0.356155262779532,0.643844737220468,0.318923798627999,0.393386726931066,0.606613273068934,0.681076201372001,"at least one"
"60-65","2015","woman",0.310584514522809,0.689415485477191,0.283759036508027,0.337409992537591,0.662590007462409,0.716240963491973,"at least one"
"65-70","2015","woman",0.296928282039993,0.703071717960007,0.266698998545318,0.327157565534668,0.672842434465331,0.733301001454682,"at least one"
"70-75","2015","woman",0.228026902371526,0.771973097628474,0.191865573437501,0.26418823130555,0.73581176869445,0.808134426562499,"at least one"
"75-80","2015","woman",0.317713515271494,0.682286484728506,0.257157614088162,0.378269416454826,0.621730583545174,0.742842385911838,"at least one"
"80+","2015","woman",0.296731509885316,0.703268490114684,0.243510891056163,0.349952128714469,0.650047871285531,0.756489108943837,"at least one"
"50-55","2015","man",0.530768166701742,0.469231833298258,0.494918466054438,0.566617867349046,0.433382132650954,0.505081533945562,"at least one"
"55-60","2015","man",0.491727575440903,0.508272424559097,0.455689046221667,0.527766104660139,0.472233895339861,0.544310953778333,"at least one"
"60-65","2015","man",0.410122891296455,0.589877108703545,0.3781799556891,0.44206582690381,0.55793417309619,0.6218200443109,"at least one"
"65-70","2015","man",0.358003261028861,0.641996738971139,0.324465382218128,0.391541139839594,0.608458860160406,0.675534617781872,"at least one"
"70-75","2015","man",0.319056251698838,0.680943748301162,0.27749589529577,0.360616608101905,0.639383391898095,0.72250410470423,"at least one"
"75-80","2015","man",0.289900530366658,0.710099469633342,0.240478075698549,0.339322985034767,0.660677014965233,0.759521924301451,"at least one"
"80+","2015","man",0.281198541074319,0.718801458925681,0.200411222010015,0.361985860138622,0.638014139861378,0.799588777989985,"at least one"
"50-55","2015","woman",0.857862707112249,0.142137292887751,0.828771259354603,0.886954154869895,0.113045845130105,0.171228740645397,"adl"
"55-60","2015","woman",0.829873509486386,0.170126490513614,0.807240033320555,0.852506985652217,0.147493014347783,0.192759966679445,"adl"
"60-65","2015","woman",0.785570777054234,0.214429222945766,0.763421263967258,0.807720290141211,0.192279709858789,0.236578736032742,"adl"
"65-70","2015","woman",0.724531569618525,0.275468430381475,0.695934530411598,0.753128608825452,0.246871391174548,0.304065469588402,"adl"
"70-75","2015","woman",0.655260266019991,0.344739733980009,0.602947904481924,0.707572627558059,0.292427372441941,0.397052095518076,"adl"
"75-80","2015","woman",0.661816751697064,0.338183248302936,0.609372174818366,0.714261328575762,0.285738671424238,0.390627825181634,"adl"
"80+","2015","woman",0.493412940468662,0.506587059531338,0.433453078781397,0.553372802155927,0.446627197844073,0.566546921218603,"adl"
"50-55","2015","man",0.938982782494208,0.0610172175057919,0.926071892581428,0.951893672406988,0.0481063275930121,0.0739281074185717,"adl"
"55-60","2015","man",0.905499019861293,0.0945009801387071,0.889134798793057,0.921863240929529,0.078136759070471,0.110865201206943,"adl"
"60-65","2015","man",0.850925386697841,0.149074613302159,0.829344255102963,0.872506518292719,0.127493481707281,0.170655744897037,"adl"
"65-70","2015","man",0.822251016920594,0.177748983079406,0.797194366232825,0.847307667608364,0.152692332391636,0.202805633767175,"adl"
"70-75","2015","man",0.747813762419984,0.252186237580016,0.702231219222296,0.793396305617671,0.206603694382328,0.297768780777704,"adl"
"75-80","2015","man",0.70523409258145,0.29476590741855,0.65375868919285,0.75670949597005,0.24329050402995,0.34624131080715,"adl"
"80+","2015","man",0.64718757765723,0.35281242234277,0.537187421710636,0.757187733603824,0.242812266396176,0.462812578289364,"adl"
"50-55","2015","woman",0.603052681909808,0.396947318090192,0.571881115181767,0.63422424863785,0.365775751362151,0.428118884818233,"arthritis"
"55-60","2015","woman",0.539853921651901,0.460146078348099,0.502784186750554,0.576923656553249,0.423076343446751,0.497215813249446,"arthritis"
"60-65","2015","woman",0.48536785072263,0.51463214927737,0.456486068881598,0.514249632563661,0.485750367436339,0.543513931118401,"arthritis"
"65-70","2015","woman",0.471386739341265,0.528613260658734,0.438197628928914,0.504575849753617,0.495424150246383,0.561802371071086,"arthritis"
"70-75","2015","woman",0.411522412000702,0.588477587999298,0.365121916758877,0.457922907242528,0.542077092757472,0.634878083241123,"arthritis"
"75-80","2015","woman",0.537907771062085,0.462092228937915,0.480299543900263,0.595515998223908,0.404484001776092,0.519700456099737,"arthritis"
"80+","2015","woman",0.500092251441659,0.499907748558341,0.440059309853793,0.560125193029524,0.439874806970476,0.559940690146207,"arthritis"
"50-55","2015","man",0.699485489636275,0.300514510363725,0.670263917197372,0.728707062075178,0.271292937924822,0.329736082802628,"arthritis"
"55-60","2015","man",0.662524255621197,0.337475744378803,0.631807344663555,0.693241166578838,0.306758833421162,0.368192655336445,"arthritis"
"60-65","2015","man",0.620127529277001,0.379872470722999,0.587070870744977,0.653184187809025,0.346815812190975,0.412929129255023,"arthritis"
"65-70","2015","man",0.584449314275745,0.415550685724255,0.54650850981134,0.622390118740149,0.377609881259851,0.45349149018866,"arthritis"
"70-75","2015","man",0.553045574552863,0.446954425447137,0.503000294940929,0.603090854164797,0.396909145835203,0.496999705059071,"arthritis"
"75-80","2015","man",0.577252746016706,0.422747253983294,0.511521975287985,0.642983516745428,0.357016483254572,0.488478024712015,"arthritis"
"80+","2015","man",0.643567741195947,0.356432258804053,0.542902500846597,0.744232981545296,0.255767018454704,0.457097499153403,"arthritis"
"50-55","2015","woman",0.978466603521048,0.0215333964789519,0.970886133769984,0.986047073272113,0.0139529267278874,0.0291138662300164,"cancer"
"55-60","2015","woman",0.973722776917516,0.0262772230824842,0.962794094272071,0.98465145956296,0.0153485404370397,0.0372059057279288,"cancer"
"60-65","2015","woman",0.974224289477269,0.0257757105227311,0.9640070550381,0.984441523916438,0.0155584760835622,0.0359929449619001,"cancer"
"65-70","2015","woman",0.980047218317877,0.019952781682123,0.970432576570485,0.989661860065269,0.0103381399347309,0.0295674234295151,"cancer"
"70-75","2015","woman",0.974418406657811,0.0255815933421893,0.960556513269731,0.988280300045891,0.0117196999541096,0.039443486730269,"cancer"
"75-80","2015","woman",0.971489630411636,0.0285103695883637,0.949111802429718,0.993867458393555,0.00613254160644552,0.0508881975702819,"cancer"
"80+","2015","woman",0.975385858465852,0.0246141415341478,0.955632261677671,0.995139455254033,0.00486054474596679,0.0443677383223288,"cancer"
"50-55","2015","man",0.993919514541292,0.00608048545870801,0.989268583066576,0.998570446016008,0.00142955398399227,0.0107314169334238,"cancer"
"55-60","2015","man",0.991895361375037,0.00810463862496265,0.986997687966985,0.996793034783089,0.00320696521691048,0.0130023120330148,"cancer"
"60-65","2015","man",0.98750664003308,0.0124933599669201,0.98202740757929,0.99298587248687,0.00701412751313024,0.01797259242071,"cancer"
"65-70","2015","man",0.98779738604126,0.0122026139587395,0.980809499668504,0.994785272414017,0.00521472758598339,0.0191905003314957,"cancer"
"70-75","2015","man",0.987432648202488,0.0125673517975117,0.979496148594928,0.995369147810049,0.00463085218995097,0.0205038514050724,"cancer"
"75-80","2015","man",0.984569093932267,0.0154309060677332,0.971453971086599,0.997684216777935,0.00231578322206528,0.0285460289134011,"cancer"
"80+","2015","man",0.987189757766981,0.0128102422330191,0.974859724113674,0.999519791420288,0.000480208579711837,0.0251402758863264,"cancer"
"50-55","2015","woman",0.92958546403094,0.0704145359690602,0.915814143766951,0.943356784294929,0.0566432157050711,0.0841858562330494,"diabetes"
"55-60","2015","woman",0.884116170381069,0.115883829618931,0.859820301636976,0.908412039125163,0.0915879608748368,0.140179698363025,"diabetes"
"60-65","2015","woman",0.866805125149206,0.133194874850794,0.845559391973782,0.88805085832463,0.11194914167537,0.154440608026218,"diabetes"
"65-70","2015","woman",0.86339659989875,0.13660340010125,0.840041492832135,0.886751706965364,0.113248293034636,0.159958507167865,"diabetes"
"70-75","2015","woman",0.806986179571446,0.193013820428554,0.767604802972595,0.846367556170297,0.153632443829703,0.232395197027405,"diabetes"
"75-80","2015","woman",0.890627317883143,0.109372682116857,0.854730365611294,0.926524270154992,0.0734757298450076,0.145269634388706,"diabetes"
"80+","2015","woman",0.900046345630406,0.0999536543695943,0.863911454403359,0.936181236857452,0.0638187631425478,0.136088545596641,"diabetes"
"50-55","2015","man",0.925648059609262,0.074351940390738,0.908878935761199,0.942417183457325,0.0575828165426755,0.0911210642388005,"diabetes"
"55-60","2015","man",0.925255083089759,0.0747449169102409,0.909611413741262,0.940898752438256,0.0591012475617439,0.090388586258738,"diabetes"
"60-65","2015","man",0.90654159993703,0.0934584000629695,0.88785412343724,0.925229076436821,0.0747709235631792,0.11214587656276,"diabetes"
"65-70","2015","man",0.880441618739005,0.119558381260995,0.858695999483727,0.902187237994284,0.0978127620057164,0.141304000516273,"diabetes"
"70-75","2015","man",0.912887170921041,0.0871128290789592,0.890374628887961,0.935399712954121,0.064600287045879,0.109625371112039,"diabetes"
"75-80","2015","man",0.904005953605387,0.0959940463946131,0.87323438059306,0.934777526617714,0.0652224733822859,0.12676561940694,"diabetes"
"80+","2015","man",0.783039184293061,0.216960815706939,0.616678409913663,0.949399958672458,0.0506000413275419,0.383321590086337,"diabetes"
"50-55","2015","woman",0.858703293946243,0.141296706053757,0.830170306408209,0.887236281484278,0.112763718515722,0.169829693591791,"heart"
"55-60","2015","woman",0.818114563113465,0.181885436886535,0.790276798143023,0.845952328083906,0.154047671916094,0.209723201856977,"heart"
"60-65","2015","woman",0.754302088284314,0.245697911715686,0.729480182015746,0.779123994552882,0.220876005447118,0.270519817984254,"heart"
"65-70","2015","woman",0.746251112162782,0.253748887837218,0.716301951717847,0.776200272607717,0.223799727392283,0.283698048282153,"heart"
"70-75","2015","woman",0.685273364099759,0.314726635900241,0.631105673489816,0.739441054709702,0.260558945290298,0.368894326510184,"heart"
"75-80","2015","woman",0.706627905174648,0.293372094825352,0.656151789227257,0.757104021122038,0.242895978877962,0.343848210772743,"heart"
"80+","2015","woman",0.752728997527392,0.247271002472608,0.698113945180525,0.807344049874259,0.192655950125741,0.301886054819475,"heart"
"50-55","2015","man",0.911693963274189,0.0883060367258112,0.894098883630268,0.929289042918109,0.0707109570818907,0.105901116369732,"heart"
"55-60","2015","man",0.888495781337944,0.111504218662056,0.870115347167603,0.906876215508284,0.0931237844917161,0.129884652832397,"heart"
"60-65","2015","man",0.855460600419134,0.144539399580866,0.833443194109047,0.877478006729222,0.122521993270778,0.166556805890954,"heart"
"65-70","2015","man",0.790422298658224,0.209577701341776,0.751687534749751,0.829157062566698,0.170842937433302,0.248312465250249,"heart"
"70-75","2015","man",0.765295220376819,0.234704779623181,0.728963506090981,0.801626934662657,0.198373065337343,0.271036493909019,"heart"
"75-80","2015","man",0.789284308087254,0.210715691912746,0.746258609886623,0.832310006287885,0.167689993712115,0.253741390113377,"heart"
"80+","2015","man",0.778231446020295,0.221768553979705,0.698065923665356,0.858396968375234,0.141603031624766,0.301934076334644,"heart"
"50-55","2015","woman",0.907076094570276,0.0929239054297242,0.889517796334954,0.924634392805597,0.0753656071944027,0.110482203665046,"lung"
"55-60","2015","woman",0.908680484717465,0.0913195152825347,0.891995645835212,0.925365323599719,0.074634676400281,0.108004354164788,"lung"
"60-65","2015","woman",0.881605826518619,0.118394173481381,0.86336782248184,0.899843830555397,0.100156169444603,0.13663217751816,"lung"
"65-70","2015","woman",0.874553205501812,0.125446794498188,0.853770960086555,0.895335450917069,0.104664549082931,0.146229039913445,"lung"
"70-75","2015","woman",0.833343298067143,0.166656701932857,0.780459597328867,0.886226998805419,0.113773001194581,0.219540402671133,"lung"
"75-80","2015","woman",0.791769455055926,0.208230544944074,0.746535788661188,0.837003121450663,0.162996878549337,0.253464211338812,"lung"
"80+","2015","woman",0.806282109534183,0.193717890465817,0.757360472155666,0.855203746912701,0.144796253087299,0.242639527844334,"lung"
"50-55","2015","man",0.884022539777053,0.115977460222947,0.863106188257545,0.90493889129656,0.0950611087034397,0.136893811742455,"lung"
"55-60","2015","man",0.87591573409832,0.124084265901679,0.856127206004882,0.895704262191759,0.104295737808241,0.143872793995118,"lung"
"60-65","2015","man",0.845011662443032,0.154988337556968,0.823595924169609,0.866427400716455,0.133572599283545,0.176404075830391,"lung"
