"","age","year","gender","unhealthy","healthy","CI_low_unhealthy","CI_up_unhealthy","CI_low_healthy","CI_up_healthy"
"1","50-55","2014","man",0.0555451673957445,0.944454832604255,0.044111248647982,0.0669790861435071,0.933020913856493,0.955888751352018
"2","55-60","2014","man",0.0894943176801194,0.910505682319881,0.0748127747772666,0.104175860582972,0.895824139417028,0.925187225222733
"3","60-65","2014","man",0.142374601212346,0.857625398787654,0.122688452600049,0.162060749824643,0.837939250175357,0.877311547399951
"4","65-70","2014","man",0.176060537921433,0.823939462078567,0.152653389239946,0.19946768660292,0.80053231339708,0.847346610760054
"5","70-75","2014","man",0.245118150732752,0.754881849267248,0.201821174998707,0.288415126466797,0.711584873533203,0.798178825001293
"6","75-80","2014","man",0.310230900395945,0.689769099604055,0.261904787156675,0.358557013635214,0.641442986364785,0.738095212843325
"7","80-85","2014","man",0.274441946183815,0.725558053816185,0.18161595104713,0.3672679413205,0.632732058679501,0.81838404895287
"8","85-90","2014","man",0.452380599979216,0.547619400020784,0.324272379389219,0.580488820569212,0.419511179430788,0.675727620610781
"9","90+","2014","man",0.660300515909598,0.339699484090402,0.321969715958076,0.99863131586112,0.00136868413887969,0.678030284041924
"10","50-55","2014","woman",0.148250133517829,0.851749866482171,0.120093479375374,0.176406787660284,0.823593212339716,0.879906520624626
"11","55-60","2014","woman",0.178084771029135,0.821915228970865,0.156196496532205,0.199973045526065,0.800026954473935,0.843803503467795
"12","60-65","2014","woman",0.205372109018551,0.794627890981449,0.184593392712559,0.226150825324542,0.773849174675458,0.815406607287441
"13","65-70","2014","woman",0.264658345775025,0.735341654224975,0.236902184515491,0.292414507034558,0.707585492965442,0.763097815484509
"14","70-75","2014","woman",0.329067503117884,0.670932496882116,0.27401557383521,0.384119432400557,0.615880567599443,0.72598442616479
"15","75-80","2014","woman",0.340983018272698,0.659016981727302,0.292328268644897,0.389637767900499,0.610362232099502,0.707671731355103
"16","80-85","2014","woman",0.411734501954781,0.58826549804522,0.328542633789517,0.494926370120044,0.505073629879956,0.671457366210483
"17","85-90","2014","woman",0.540205914960991,0.459794085039009,0.357422803641915,0.722989026280066,0.277010973719934,0.642577196358085
"18","90+","2014","woman",0.565908080627697,0.434091919372303,0.402117041321102,0.729699119934291,0.270300880065709,0.597882958678898
