"","age","year","gender","unhealthy","healthy","CI_low_unhealthy","CI_up_unhealthy","CI_low_healthy","CI_up_healthy"
"1","50-55","2014","man",0.057559928901694,0.942440071098306,0.0291251637600381,0.08599469404335,0.91400530595665,0.970874836239962
"2","55-60","2014","man",0.0914000284503891,0.908599971549611,0.0618404633416979,0.12095959355908,0.87904040644092,0.938159536658302
"3","60-65","2014","man",0.123344233188386,0.876655766811614,0.0975265380823859,0.149161928294386,0.850838071705614,0.902473461917614
"4","65-70","2014","man",0.160792361968872,0.839207638031128,0.131650674382908,0.189934049554835,0.810065950445165,0.868349325617092
"5","70-75","2014","man",0.174674990143692,0.825325009856308,0.142020326943169,0.207329653344215,0.792670346655785,0.857979673056831
"6","75-80","2014","man",0.251057243798125,0.748942756201875,0.210510616939719,0.291603870656531,0.708396129343469,0.789489383060281
"7","80-85","2014","man",0.245263532318674,0.754736467681326,0.192518427492396,0.298008637144951,0.701991362855049,0.807481572507604
"8","85-90","2014","man",0.387281731606156,0.612718268393844,0.300028812702826,0.474534650509486,0.525465349490514,0.699971187297174
"9","90+","2014","man",0.481550755762095,0.518449244237905,0.353070117611226,0.610031393912963,0.389968606087037,0.646929882388774
"10","50-55","2014","woman",0.0740721505088408,0.925927849491159,0.0461157933980596,0.102028507619622,0.897971492380378,0.95388420660194
"11","55-60","2014","woman",0.152795740958736,0.847204259041264,0.116716086660948,0.188875395256524,0.811124604743476,0.883283913339052
"12","60-65","2014","woman",0.127488996625379,0.872511003374621,0.102834547290135,0.152143445960623,0.847856554039377,0.897165452709865
"13","65-70","2014","woman",0.131566168698744,0.868433831301256,0.107752082089311,0.155380255308177,0.844619744691823,0.892247917910689
"14","70-75","2014","woman",0.197696851380584,0.802303148619416,0.166048601559567,0.229345101201601,0.770654898798399,0.833951398440433
"15","75-80","2014","woman",0.202130514139359,0.797869485860641,0.168372564515569,0.235888463763148,0.764111536236852,0.831627435484431
"16","80-85","2014","woman",0.354144484395085,0.645855515604915,0.302258888156397,0.406030080633774,0.593969919366226,0.697741111843603
"17","85-90","2014","woman",0.417367591187146,0.582632408812854,0.344940681108456,0.489794501265837,0.510205498734163,0.655059318891544
"18","90+","2014","woman",0.469410645419319,0.530589354580681,0.366688337728558,0.57213295311008,0.42786704688992,0.633311662271442
