age,year,gender,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy
50-55,2015,woman,0.784940118,0.215059882,0.730637973,0.839242264,0.160757736,0.269362027
55-60,2015,woman,0.71196608,0.28803392,0.674699379,0.749232782,0.250767218,0.325300621
60-65,2015,woman,0.51722602,0.48277398,0.472730611,0.561721428,0.438278572,0.527269389
65-70,2015,woman,0.410915644,0.589084356,0.366696187,0.4551351,0.5448649,0.633303813
70-75,2015,woman,0.302081712,0.697918288,0.264155931,0.340007493,0.659992507,0.735844069
75-80,2015,woman,0.292612296,0.707387704,0.252292658,0.332931934,0.667068066,0.747707342
80+,2015,woman,0.2717544,0.7282456,0.235835256,0.307673543,0.692326457,0.764164744
50-55,2015,man,0.842224139,0.157775861,0.785923058,0.89852522,0.10147478,0.214076942
55-60,2015,man,0.782069777,0.217930223,0.743197539,0.820942014,0.179057986,0.256802461
60-65,2015,man,0.660412541,0.339587459,0.613224738,0.707600345,0.292399655,0.386775262
65-70,2015,man,0.551421909,0.448578091,0.503856813,0.598987006,0.401012994,0.496143187
70-75,2015,man,0.502171965,0.497828035,0.450873547,0.553470383,0.446529617,0.549126453
75-80,2015,man,0.436847238,0.563152762,0.386190634,0.487503842,0.512496158,0.613809366
80+,2015,man,0.395572484,0.604427516,0.340541653,0.450603316,0.549396684,0.659458347
