age,year,gender,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy,type
50-55,2015,woman,0.784940118,0.215059882,0.730637973,0.839242264,0.160757736,0.269362027,at least one
55-60,2015,woman,0.71196608,0.28803392,0.674699379,0.749232782,0.250767218,0.325300621,at least one
60-65,2015,woman,0.51722602,0.48277398,0.472730611,0.561721428,0.438278572,0.527269389,at least one
65-70,2015,woman,0.410915644,0.589084356,0.366696187,0.4551351,0.5448649,0.633303813,at least one
70-75,2015,woman,0.302081712,0.697918288,0.264155931,0.340007493,0.659992507,0.735844069,at least one
75-80,2015,woman,0.292612296,0.707387704,0.252292658,0.332931934,0.667068066,0.747707342,at least one
80+,2015,woman,0.2717544,0.7282456,0.235835256,0.307673543,0.692326457,0.764164744,at least one
50-55,2015,man,0.842224139,0.157775861,0.785923058,0.89852522,0.10147478,0.214076942,at least one
55-60,2015,man,0.782069777,0.217930223,0.743197539,0.820942014,0.179057986,0.256802461,at least one
60-65,2015,man,0.660412541,0.339587459,0.613224738,0.707600345,0.292399655,0.386775262,at least one
65-70,2015,man,0.551421909,0.448578091,0.503856813,0.598987006,0.401012994,0.496143187,at least one
70-75,2015,man,0.502171965,0.497828035,0.450873547,0.553470383,0.446529617,0.549126453,at least one
75-80,2015,man,0.436847238,0.563152762,0.386190634,0.487503842,0.512496158,0.613809366,at least one
80+,2015,man,0.395572484,0.604427516,0.340541653,0.450603316,0.549396684,0.659458347,at least one
50-55,2015,woman,1,0,1,1,0,0,adl
55-60,2015,woman,0.993560587,0.006439413,0.987527935,0.999593238,0.000406762,0.012472065,adl
60-65,2015,woman,0.996666213,0.003333787,0.992574985,1.00075744,-0.00075744,0.007425015,adl
65-70,2015,woman,0.985355079,0.014644921,0.975554361,0.995155798,0.004844202,0.024445639,adl
70-75,2015,woman,0.966859201,0.033140799,0.951334179,0.982384222,0.017615778,0.048665821,adl
75-80,2015,woman,0.950805305,0.049194695,0.930804587,0.970806023,0.029193977,0.069195413,adl
80+,2015,woman,0.771516155,0.228483845,0.736466408,0.806565903,0.193434097,0.263533592,adl
50-55,2015,man,0.991919401,0.008080599,0.980471438,1.003367364,-0.003367364,0.019528562,adl
55-60,2015,man,0.991185308,0.008814692,0.983738537,0.998632078,0.001367922,0.016261463,adl
60-65,2015,man,0.989615335,0.010384665,0.978401058,1.000829612,-0.000829612,0.021598942,adl
65-70,2015,man,0.972799671,0.027200329,0.958735545,0.986863797,0.013136203,0.041264455,adl
70-75,2015,man,0.961408543,0.038591457,0.943993739,0.978823347,0.021176653,0.056006261,adl
75-80,2015,man,0.944318143,0.055681857,0.921586363,0.967049924,0.032950076,0.078413637,adl
80+,2015,man,0.848630266,0.151369734,0.807994687,0.889265845,0.110734155,0.192005313,adl
50-55,2015,woman,0.923119285,0.076880715,0.891072464,0.955166105,0.044833895,0.108927536,arthritis
55-60,2015,woman,0.857175939,0.142824061,0.829311292,0.885040587,0.114959413,0.170688708,arthritis
60-65,2015,woman,0.725459382,0.274540618,0.685102313,0.765816451,0.234183549,0.314897687,arthritis
65-70,2015,woman,0.612087183,0.387912817,0.569171989,0.655002377,0.344997623,0.430828011,arthritis
70-75,2015,woman,0.513356647,0.486643353,0.471708237,0.555005057,0.444994943,0.528291763,arthritis
75-80,2015,woman,0.447276465,0.552723535,0.403226295,0.491326635,0.508673365,0.596773705,arthritis
80+,2015,woman,0.456809662,0.543190338,0.416320029,0.497299294,0.502700706,0.583679971,arthritis
50-55,2015,man,0.96940984,0.03059016,0.942906473,0.995913206,0.004086794,0.057093527,arthritis
55-60,2015,man,0.968872272,0.031127728,0.953979025,0.98376552,0.01623448,0.046020975,arthritis
60-65,2015,man,0.924861564,0.075138436,0.89720647,0.952516658,0.047483342,0.10279353,arthritis
65-70,2015,man,0.877641676,0.122358324,0.845774375,0.909508977,0.090491023,0.154225625,arthritis
70-75,2015,man,0.890796996,0.109203004,0.857995513,0.92359848,0.07640152,0.142004487,arthritis
