"","age","year","gender","unhealthy","healthy","CI_low_unhealthy","CI_up_unhealthy","CI_low_healthy","CI_up_healthy"
"1","50-55","2014","female",0,1,0,0,1,1
"2","55-60","2014","female",0.00643941334902035,0.99356058665098,0.00160016268087178,0.0112786640171689,0.988721335982831,0.998399837319128
"3","60-65","2014","female",0.00333378740160496,0.996666212598395,-0.00129414429921735,0.00796171910242728,0.992038280897573,1.00129414429922
"4","65-70","2014","female",0.0146449208335406,0.985355079166459,0.00502194201615734,0.0242678996509239,0.975732100349076,0.994978057983843
"5","70-75","2014","female",0.0331407991229614,0.966859200877039,0.0183503120523965,0.0479312861935263,0.952068713806474,0.981649687947603
"6","75-80","2014","female",0.0491946953602578,0.950805304639742,0.0316104166279276,0.0667789740925879,0.933221025907412,0.968389583372072
"7","80-85","2014","female",0.147530682892379,0.852469317107621,0.110476247629917,0.18458511815484,0.81541488184516,0.889523752370083
"8","85-90","2014","female",0.253999169174506,0.746000830825494,0.166624632866414,0.341373705482598,0.658626294517402,0.833375367133586
"9","90+","2014","female",0.586100436443856,0.413899563556144,0.48538346792066,0.686817404967051,0.313182595032949,0.51461653207934
"10","50-55","2014","male",0.00808059919657016,0.99191940080343,-0.0025004426713177,0.018661641064458,0.981338358935542,1.00250044267132
"11","55-60","2014","male",0.00881469241207286,0.991185307587927,0.00242030448924951,0.0152090803348962,0.984790919665104,0.99757969551075
"12","60-65","2014","male",0.0103846650686222,0.989615334931378,0.000721523409015906,0.0200478067282286,0.979952193271771,0.999278476590984
"13","65-70","2014","male",0.0272003293037734,0.972799670696227,0.0167041158063292,0.0376965428012176,0.962303457198782,0.983295884193671
"14","70-75","2014","male",0.038591457032157,0.961408542967843,0.0203110202738175,0.0568718937904965,0.943128106209503,0.979688979726183
"15","75-80","2014","male",0.0556818568706969,0.944318143129303,0.0333541065146845,0.0780096072267093,0.921990392773291,0.966645893485315
"16","80-85","2014","male",0.150492555637362,0.849507444362638,0.102545146146515,0.198439965128209,0.801560034871792,0.897454853853485
"17","85-90","2014","male",0.122670465913727,0.877329534086273,0.0556219954013731,0.189718936426081,0.810281063573919,0.944378004598627
"18","90+","2014","male",0.225546770747453,0.774453229252547,0.128731524047465,0.322362017447441,0.677637982552559,0.871268475952535
