"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy"
"50-55","2017","woman",0.74921982974573,0.25078017025427,0.735736624709242,0.762703034782218,0.237296965217781,0.264263375290759
"55-60","2017","woman",0.702520068593057,0.297479931406943,0.687770990295151,0.717269146890963,0.282730853109037,0.312229009704849
"60-65","2017","woman",0.687977965592685,0.312022034407315,0.672976465454534,0.702979465730836,0.297020534269164,0.327023534545465
"65-70","2017","woman",0.660646353785279,0.339353646214721,0.643720723080164,0.677571984490393,0.322428015509607,0.356279276919836
"70-75","2017","woman",0.634010337424143,0.365989662575857,0.612280258242853,0.655740416605433,0.344259583394567,0.387719741757147
"75-80","2017","woman",0.635667572243075,0.364332427756925,0.607903862576518,0.663431281909632,0.336568718090368,0.392096137423482
"80+","2017","woman",0.693765647711213,0.306234352288787,0.667858376004718,0.719672919417709,0.280327080582291,0.332141623995283
"50-55","2017","man",0.783298427922407,0.216701572077593,0.76904969510593,0.797547160738885,0.202452839261115,0.23095030489407
"55-60","2017","man",0.746296996781562,0.253703003218438,0.730252105610298,0.762341887952827,0.237658112047173,0.269747894389702
"60-65","2017","man",0.710567038934708,0.289432961065292,0.694573788213665,0.726560289655751,0.273439710344249,0.305426211786335
"65-70","2017","man",0.6597199901504,0.3402800098496,0.642493555190039,0.676946425110762,0.323053574889238,0.357506444809961
"70-75","2017","man",0.643111884377907,0.356888115622093,0.621676404220142,0.664547364535672,0.335452635464328,0.378323595779858
"75-80","2017","man",0.61204269324323,0.38795730675677,0.58264826992018,0.64143711656628,0.35856288343372,0.41735173007982
"80+","2017","man",0.669064839559901,0.330935160440099,0.640393848614598,0.697735830505204,0.302264169494796,0.359606151385402
