"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy","type"
"50-55","2014","woman",0.884109367557459,0.115890632442541,0.823380116115293,0.944838618999624,0.0551613810003758,0.176619883884707,"adl"
"55-60","2014","woman",0.899625726061422,0.100374273938578,0.866904072035571,0.932347380087273,0.0676526199127268,0.13309592796443,"adl"
"60-65","2014","woman",0.85104810501544,0.14895189498456,0.808054573635843,0.894041636395037,0.105958363604963,0.191945426364157,"adl"
"65-70","2014","woman",0.816739868161278,0.183260131838722,0.7741390464458,0.859340689876757,0.140659310123243,0.225860953554201,"adl"
"70-75","2014","woman",0.772456305162196,0.227543694837804,0.727965839361268,0.816946770963123,0.183053229036877,0.272034160638732,"adl"
"75-80","2014","woman",0.748563276750624,0.251436723249376,0.691878646531118,0.80524790697013,0.19475209302987,0.308121353468882,"adl"
"80+","2014","woman",0.646137485025077,0.353862514974923,0.587157913222292,0.705117056827862,0.294882943172138,0.412842086777708,"adl"
"50-55","2014","man",0.957763999543105,0.0422360004568948,0.936430271237757,0.979097727848454,0.0209022721515466,0.0635697287622431,"adl"
"55-60","2014","man",0.955620573597513,0.0443794264024869,0.939126020726392,0.972115126468635,0.0278848735313654,0.0608739792736085,"adl"
"60-65","2014","man",0.891611893137473,0.108388106862527,0.853357034645388,0.929866751629557,0.0701332483704431,0.146642965354612,"adl"
"65-70","2014","man",0.893271673217714,0.106728326782286,0.86258865914407,0.923954687291357,0.0760453127086428,0.13741134085593,"adl"
"70-75","2014","man",0.851239933092381,0.148760066907619,0.812374815950809,0.890105050233953,0.109894949766047,0.187625184049191,"adl"
"75-80","2014","man",0.770517246423452,0.229482753576548,0.662060892982533,0.878973599864371,0.121026400135629,0.337939107017467,"adl"
"80+","2014","man",0.701820828689067,0.298179171310933,0.635708803386972,0.767932853991162,0.232067146008838,0.364291196613028,"adl"
