"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy","type"
"50-55","2014","woman",0.696392795286709,0.303607204713291,0.638835614217284,0.753949976356133,0.246050023643866,0.361164385782716,"at least one"
"55-60","2014","woman",0.598336502623327,0.401663497376673,0.540364651871212,0.656308353375442,0.343691646624558,0.459635348128788,"at least one"
"60-65","2014","woman",0.489712997531832,0.510287002468168,0.428883123131323,0.550542871932342,0.449457128067658,0.571116876868677,"at least one"
"65-70","2014","woman",0.331059144949097,0.668940855050903,0.286373748139675,0.375744541758519,0.624255458241481,0.713626251860325,"at least one"
"70-75","2014","woman",0.334621521271255,0.665378478728745,0.282007302446503,0.387235740096008,0.612764259903992,0.717992697553497,"at least one"
"75-80","2014","woman",0.350455849608401,0.649544150391599,0.285413943878931,0.415497755337872,0.584502244662128,0.714586056121069,"at least one"
"80+","2014","woman",0.333099403033564,0.666900596966436,0.270804571651283,0.395394234415846,0.604605765584154,0.729195428348717,"at least one"
"50-55","2014","man",0.750180259287815,0.249819740712185,0.663607354573889,0.836753164001742,0.163246835998258,0.336392645426111,"at least one"
"55-60","2014","man",0.721938152685866,0.278061847314134,0.666817336879628,0.777058968492103,0.222941031507897,0.333182663120372,"at least one"
"60-65","2014","man",0.646737045644495,0.353262954355505,0.578969258144925,0.714504833144064,0.285495166855936,0.421030741855075,"at least one"
"65-70","2014","man",0.519788516143603,0.480211483856397,0.461359816782416,0.578217215504791,0.421782784495209,0.538640183217584,"at least one"
"70-75","2014","man",0.50469675078735,0.49530324921265,0.445802606178236,0.563590895396463,0.436409104603537,0.554197393821764,"at least one"
"75-80","2014","man",0.426666861706796,0.573333138293204,0.343036479096229,0.510297244317363,0.489702755682637,0.656963520903771,"at least one"
"80+","2014","man",0.445997367443312,0.554002632556688,0.363017827753372,0.528976907133252,0.471023092866748,0.636982172246628,"at least one"
