"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy","type"
"50-55","2014","woman",0.696392795286709,0.303607204713291,0.638835614217284,0.753949976356133,0.246050023643866,0.361164385782716,"at least one"
"55-60","2014","woman",0.598336502623327,0.401663497376673,0.540364651871212,0.656308353375442,0.343691646624558,0.459635348128788,"at least one"
"60-65","2014","woman",0.489712997531832,0.510287002468168,0.428883123131323,0.550542871932342,0.449457128067658,0.571116876868677,"at least one"
"65-70","2014","woman",0.331059144949097,0.668940855050903,0.286373748139675,0.375744541758519,0.624255458241481,0.713626251860325,"at least one"
"70-75","2014","woman",0.334621521271255,0.665378478728745,0.282007302446503,0.387235740096008,0.612764259903992,0.717992697553497,"at least one"
"75-80","2014","woman",0.350455849608401,0.649544150391599,0.285413943878931,0.415497755337872,0.584502244662128,0.714586056121069,"at least one"
"80+","2014","woman",0.333099403033564,0.666900596966436,0.270804571651283,0.395394234415846,0.604605765584154,0.729195428348717,"at least one"
"50-55","2014","man",0.750180259287815,0.249819740712185,0.663607354573889,0.836753164001742,0.163246835998258,0.336392645426111,"at least one"
"55-60","2014","man",0.721938152685866,0.278061847314134,0.666817336879628,0.777058968492103,0.222941031507897,0.333182663120372,"at least one"
"60-65","2014","man",0.646737045644495,0.353262954355505,0.578969258144925,0.714504833144064,0.285495166855936,0.421030741855075,"at least one"
"65-70","2014","man",0.519788516143603,0.480211483856397,0.461359816782416,0.578217215504791,0.421782784495209,0.538640183217584,"at least one"
"70-75","2014","man",0.50469675078735,0.49530324921265,0.445802606178236,0.563590895396463,0.436409104603537,0.554197393821764,"at least one"
"75-80","2014","man",0.426666861706796,0.573333138293204,0.343036479096229,0.510297244317363,0.489702755682637,0.656963520903771,"at least one"
"80+","2014","man",0.445997367443312,0.554002632556688,0.363017827753372,0.528976907133252,0.471023092866748,0.636982172246628,"at least one"
"50-55","2014","woman",0.884109367557459,0.115890632442541,0.823380116115293,0.944838618999624,0.0551613810003758,0.176619883884707,"adl"
"55-60","2014","woman",0.899625726061422,0.100374273938578,0.866904072035571,0.932347380087273,0.0676526199127268,0.13309592796443,"adl"
"60-65","2014","woman",0.85104810501544,0.14895189498456,0.808054573635843,0.894041636395037,0.105958363604963,0.191945426364157,"adl"
"65-70","2014","woman",0.816739868161278,0.183260131838722,0.7741390464458,0.859340689876757,0.140659310123243,0.225860953554201,"adl"
"70-75","2014","woman",0.772456305162196,0.227543694837804,0.727965839361268,0.816946770963123,0.183053229036877,0.272034160638732,"adl"
"75-80","2014","woman",0.748563276750624,0.251436723249376,0.691878646531118,0.80524790697013,0.19475209302987,0.308121353468882,"adl"
"80+","2014","woman",0.646137485025077,0.353862514974923,0.587157913222292,0.705117056827862,0.294882943172138,0.412842086777708,"adl"
"50-55","2014","man",0.957763999543105,0.0422360004568948,0.936430271237757,0.979097727848454,0.0209022721515466,0.0635697287622431,"adl"
"55-60","2014","man",0.955620573597513,0.0443794264024869,0.939126020726392,0.972115126468635,0.0278848735313654,0.0608739792736085,"adl"
"60-65","2014","man",0.891611893137473,0.108388106862527,0.853357034645388,0.929866751629557,0.0701332483704431,0.146642965354612,"adl"
"65-70","2014","man",0.893271673217714,0.106728326782286,0.86258865914407,0.923954687291357,0.0760453127086428,0.13741134085593,"adl"
"70-75","2014","man",0.851239933092381,0.148760066907619,0.812374815950809,0.890105050233953,0.109894949766047,0.187625184049191,"adl"
"75-80","2014","man",0.770517246423452,0.229482753576548,0.662060892982533,0.878973599864371,0.121026400135629,0.337939107017467,"adl"
"80+","2014","man",0.701820828689067,0.298179171310933,0.635708803386972,0.767932853991162,0.232067146008838,0.364291196613028,"adl"
"50-55","2014","woman",0.882924621032614,0.117075378967386,0.847712378160471,0.918136863904758,0.0818631360952422,0.152287621839529,"arthritis"
"55-60","2014","woman",0.843475740755908,0.156524259244092,0.797258935360566,0.88969254615125,0.11030745384875,0.202741064639434,"arthritis"
"60-65","2014","woman",0.780405836875199,0.219594163124801,0.73021855174089,0.830593122009507,0.169406877990493,0.26978144825911,"arthritis"
"65-70","2014","woman",0.630691912523158,0.369308087476842,0.578933221169494,0.682450603876822,0.317549396123178,0.421066778830506,"arthritis"
"70-75","2014","woman",0.629223889548861,0.370776110451139,0.57670184778585,0.681745931311872,0.318254068688128,0.423298152214151,"arthritis"
"75-80","2014","woman",0.593677802271924,0.406322197728076,0.528919048711446,0.658436555832403,0.341563444167597,0.471080951288554,"arthritis"
"80+","2014","woman",0.50025888850535,0.49974111149465,0.436016464275111,0.564501312735589,0.435498687264411,0.563983535724889,"arthritis"
"50-55","2014","man",0.972424790827836,0.0275752091721637,0.953934384731218,0.990915196924455,0.00908480307554512,0.0460656152687822,"arthritis"
"55-60","2014","man",0.966554312854297,0.0334456871457025,0.951716443787184,0.981392181921411,0.018607818078589,0.0482835562128159,"arthritis"
"60-65","2014","man",0.903079878035119,0.0969201219648811,0.866691657539749,0.939468098530488,0.0605319014695116,0.133308342460251,"arthritis"
"65-70","2014","man",0.819862530051143,0.180137469948857,0.777772705570312,0.861952354531974,0.138047645468026,0.222227294429688,"arthritis"
"70-75","2014","man",0.746782007866659,0.253217992133341,0.694095817356527,0.79946819837679,0.20053180162321,0.305904182643473,"arthritis"
"75-80","2014","man",0.686207249641614,0.313792750358386,0.579949238389462,0.792465260893765,0.207534739106235,0.420050761610537,"arthritis"
"80+","2014","man",0.746300815871582,0.253699184128418,0.685552204036678,0.807049427706486,0.192950572293514,0.314447795963321,"arthritis"
"50-55","2014","woman",0.981817322388013,0.0181826776119873,0.968808613716179,0.994826031059846,0.00517396894015356,0.0311913862838211,"cancer"
"55-60","2014","woman",0.980889385170095,0.0191106148299053,0.972370408632902,0.989408361707288,0.0105916382927123,0.0276295913670983,"cancer"
"60-65","2014","woman",0.969983496046278,0.0300165039537216,0.954901092946879,0.985065899145677,0.0149341008543225,0.0450989070531207,"cancer"
"65-70","2014","woman",0.942916139725729,0.0570838602742712,0.91867225108887,0.967160028362588,0.0328399716374123,0.08132774891113,"cancer"
"70-75","2014","woman",0.965834439269602,0.0341655607303984,0.948769168401031,0.982899710138172,0.0171002898618282,0.0512308315989687,"cancer"
"75-80","2014","woman",0.958388260534022,0.0416117394659784,0.933305084237879,0.983471436830164,0.0165285631698359,0.0666949157621209,"cancer"
"80+","2014","woman",0.954238918556722,0.045761081443278,0.931666656008869,0.976811181104574,0.0231888188954256,0.0683333439911305,"cancer"
"50-55","2014","man",0.995569369485137,0.00443063051486336,0.988735278830032,1.00240346014024,-0.00240346014024164,0.0112647211699684,"cancer"
"55-60","2014","man",0.979737270000049,0.0202627299999506,0.948852565558444,1.01062197444165,-0.0106219744416548,0.051147434441556,"cancer"
"60-65","2014","man",0.99223835158665,0.00776164841334987,0.985906807806146,0.998569895367154,0.00143010463284619,0.0140931921938536,"cancer"
"65-70","2014","man",0.982810814193799,0.0171891858062006,0.973169368354519,0.99245226003308,0.00754773996692016,0.026830631645481,"cancer"
"70-75","2014","man",0.978075448823419,0.0219245511765805,0.962813337716191,0.993337559930648,0.00666244006935177,0.0371866622838092,"cancer"
"75-80","2014","man",0.969114420291975,0.0308855797080249,0.946606238578459,0.991622602005491,0.00837739799450852,0.0533937614215413,"cancer"
"80+","2014","man",0.970207634966872,0.0297923650331279,0.949652563599464,0.99076270633428,0.00923729366572035,0.0503474364005355,"cancer"
"50-55","2014","woman",0.846081125139533,0.153918874860467,0.802988898608427,0.88917335167064,0.11082664832936,0.197011101391573,"diabetes"
"55-60","2014","woman",0.797099349180648,0.202900650819352,0.758278439630597,0.835920258730699,0.164079741269301,0.241721560369403,"diabetes"
"60-65","2014","woman",0.704322808226434,0.295677191773566,0.648951302306233,0.759694314146634,0.240305685853366,0.351048697693767,"diabetes"
"65-70","2014","woman",0.663147883915017,0.336852116084983,0.613291538327934,0.7130042295021,0.2869957704979,0.386708461672066,"diabetes"
"70-75","2014","woman",0.670100453806658,0.329899546193342,0.61889367644702,0.721307231166295,0.278692768833705,0.38110632355298,"diabetes"
"75-80","2014","woman",0.726315452606288,0.273684547393712,0.664049971742053,0.788580933470523,0.211419066529477,0.335950028257947,"diabetes"
