age,year,gender,country,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy
50-55,2015,woman,Austria,0.745270141,0.254729859,0.624911411,0.865628872,0.134371128,0.375088589
55-60,2015,woman,Austria,0.621706844,0.378293156,0.54695482,0.696458869,0.303541131,0.45304518
60-65,2015,woman,Austria,0.488742706,0.511257294,0.424714445,0.552770967,0.447229033,0.575285555
65-70,2015,woman,Austria,0.467562078,0.532437922,0.412830146,0.52229401,0.47770599,0.587169854
70-75,2015,woman,Austria,0.35459798,0.64540202,0.302748206,0.406447755,0.593552245,0.697251794
75-80,2015,woman,Austria,0.267107705,0.732892295,0.207995921,0.326219489,0.673780511,0.792004079
80+,2015,woman,Austria,0.149223829,0.850776171,0.098279698,0.200167961,0.799832039,0.901720302
50-55,2015,woman,Germany,0.569102705,0.430897295,0.508607638,0.629597772,0.370402228,0.491392362
55-60,2015,woman,Germany,0.466150884,0.533849116,0.408677143,0.523624625,0.476375375,0.591322857
60-65,2015,woman,Germany,0.410395659,0.589604341,0.359911721,0.460879598,0.539120402,0.640088279
65-70,2015,woman,Germany,0.317291253,0.682708747,0.265904846,0.368677661,0.631322339,0.734095154
70-75,2015,woman,Germany,0.28075381,0.71924619,0.22325304,0.338254579,0.661745421,0.77674696
75-80,2015,woman,Germany,0.22610167,0.77389833,0.169600758,0.282602581,0.717397419,0.830399242
80+,2015,woman,Germany,0.125088111,0.874911889,0.07812234,0.172053882,0.827946118,0.92187766
50-55,2015,woman,Sweden,0.728932719,0.271067281,0.559629395,0.898236042,0.101763958,0.440370605
55-60,2015,woman,Sweden,0.640798869,0.359201131,0.584457402,0.697140336,0.302859664,0.415542598
60-65,2015,woman,Sweden,0.508347584,0.491652416,0.45606513,0.560630037,0.439369963,0.54393487
65-70,2015,woman,Sweden,0.426979515,0.573020485,0.377317853,0.476641178,0.523358822,0.622682147
70-75,2015,woman,Sweden,0.382499952,0.617500048,0.337657374,0.42734253,0.57265747,0.662342626
75-80,2015,woman,Sweden,0.249549727,0.750450273,0.19986407,0.299235384,0.700764616,0.80013593
80+,2015,woman,Sweden,0.23021333,0.76978667,0.181561624,0.278865037,0.721134963,0.818438376
50-55,2015,woman,Spain,0.679458262,0.320541738,0.532831772,0.826084753,0.173915247,0.467168228
55-60,2015,woman,Spain,0.548973099,0.451026901,0.439546061,0.658400137,0.341599863,0.560453939
60-65,2015,woman,Spain,0.377846233,0.622153767,0.313685782,0.442006683,0.557993317,0.686314218
65-70,2015,woman,Spain,0.25327362,0.74672638,0.195066138,0.311481102,0.688518898,0.804933862
70-75,2015,woman,Spain,0.203756726,0.796243274,0.146040923,0.26147253,0.73852747,0.853959077
75-80,2015,woman,Spain,0.11269721,0.88730279,0.066352597,0.159041823,0.840958177,0.933647403
80+,2015,woman,Spain,0.066621405,0.933378595,0.041790828,0.091451983,0.908548017,0.958209172
50-55,2015,woman,Italy,0.773841228,0.226158772,0.714855637,0.832826819,0.167173181,0.285144363
55-60,2015,woman,Italy,0.67048974,0.32951026,0.616280494,0.724698985,0.275301015,0.383719506
60-65,2015,woman,Italy,0.494614779,0.505385221,0.443178512,0.546051045,0.453948955,0.556821488
65-70,2015,woman,Italy,0.339807615,0.660192385,0.294412845,0.385202385,0.614797615,0.705587155
70-75,2015,woman,Italy,0.277413163,0.722586837,0.228062646,0.326763679,0.673236321,0.771937354
75-80,2015,woman,Italy,0.208643785,0.791356215,0.159767028,0.257520541,0.742479459,0.840232972
80+,2015,woman,Italy,0.123721843,0.876278157,0.080011634,0.167432051,0.832567949,0.919988366
50-55,2015,woman,France,0.609833492,0.390166508,0.538863359,0.680803625,0.319196375,0.461136641
55-60,2015,woman,France,0.414504385,0.585495615,0.346142934,0.482865836,0.517134164,0.653857066
60-65,2015,woman,France,0.307853602,0.692146398,0.253716191,0.361991013,0.638008987,0.746283809
65-70,2015,woman,France,0.226366454,0.773633546,0.172096721,0.280636186,0.719363814,0.827903279
70-75,2015,woman,France,0.212372944,0.787627056,0.162054795,0.262691092,0.737308908,0.837945205
75-80,2015,woman,France,0.147002747,0.852997253,0.092577911,0.201427582,0.798572418,0.907422089
80+,2015,woman,France,0.079004893,0.920995107,0.052507546,0.105502241,0.894497759,0.947492454
50-55,2015,woman,Denmark,0.610028154,0.389971846,0.560915677,0.659140631,0.340859369,0.439084323
55-60,2015,woman,Denmark,0.457679114,0.542320886,0.384861701,0.530496528,0.469503472,0.615138299
60-65,2015,woman,Denmark,0.415073617,0.584926383,0.360421126,0.469726107,0.530273893,0.639578874
65-70,2015,woman,Denmark,0.296695009,0.703304991,0.212377895,0.381012123,0.618987877,0.787622105
70-75,2015,woman,Denmark,0.275458862,0.724541138,0.248743674,0.30217405,0.69782595,0.751256326
75-80,2015,woman,Denmark,0.20857662,0.79142338,0.203231142,0.213922097,0.786077903,0.796768858
80+,2015,woman,Denmark,0.191082058,0.808917942,0.186182499,0.195981617,0.804018383,0.813817501
50-55,2015,woman,Greece,0.822768944,0.177231056,0.778847356,0.866690532,0.133309468,0.221152644
55-60,2015,woman,Greece,0.714608578,0.285391422,0.664942827,0.764274329,0.235725671,0.335057173
60-65,2015,woman,Greece,0.616909691,0.383090309,0.570724264,0.663095119,0.336904881,0.429275736
65-70,2015,woman,Greece,0.481292406,0.518707594,0.43501864,0.527566172,0.472433828,0.56498136
70-75,2015,woman,Greece,0.376082555,0.623917445,0.321986726,0.430178384,0.569821616,0.678013274
75-80,2015,woman,Greece,0.28899739,0.71100261,0.235278371,0.342716409,0.657283591,0.764721629
80+,2015,woman,Greece,0.252256292,0.747743708,0.203366167,0.301146417,0.698853583,0.796633833
50-55,2015,woman,Switzerland,0.675941059,0.324058941,0.568337819,0.783544299,0.216455701,0.431662181
55-60,2015,woman,Switzerland,0.580603106,0.419396894,0.514131859,0.647074354,0.352925646,0.485868141
60-65,2015,woman,Switzerland,0.530878323,0.469121677,0.455626433,0.606130213,0.393869787,0.544373567
65-70,2015,woman,Switzerland,0.362898285,0.637101715,0.31586151,0.40993506,0.59006494,0.68413849
70-75,2015,woman,Switzerland,0.385799315,0.614200685,0.314222943,0.457375687,0.542624313,0.685777057
75-80,2015,woman,Switzerland,0.306179268,0.693820732,0.228109004,0.384249533,0.615750467,0.771890996
80+,2015,woman,Switzerland,0.223608654,0.776391346,0.164919702,0.282297606,0.717702394,0.835080298
50-55,2015,woman,Belgium,0.577718938,0.422281062,0.497812659,0.657625218,0.342374782,0.502187341
55-60,2015,woman,Belgium,0.448959719,0.551040281,0.381919844,0.515999593,0.484000407,0.618080156
60-65,2015,woman,Belgium,0.376406265,0.623593735,0.331448187,0.421364344,0.578635656,0.668551813
65-70,2015,woman,Belgium,0.291644306,0.708355694,0.250285287,0.333003326,0.666996674,0.749714713
70-75,2015,woman,Belgium,0.264416986,0.735583014,0.213279039,0.315554933,0.684445067,0.786720961
75-80,2015,woman,Belgium,0.151568577,0.848431423,0.10749939,0.195637765,0.804362235,0.89250061
80+,2015,woman,Belgium,0.146739205,0.853260795,0.112119258,0.181359152,0.818640848,0.887880742
50-55,2015,woman,Israel,0.753083454,0.246916546,0.439268888,1.066898019,-0.066898019,0.560731112
55-60,2015,woman,Israel,0.625006379,0.374993621,0.49494841,0.755064349,0.244935651,0.50505159
60-65,2015,woman,Israel,0.52718091,0.47281909,0.431253057,0.623108763,0.376891237,0.568746943
