age,year,gender,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy
50-55,2015,woman,0.950124214,0.049875786,0.936420235,0.963828193,0.036171807,0.063579765
55-60,2015,woman,0.93165049,0.06834951,0.917540632,0.945760347,0.054239653,0.082459368
60-65,2015,woman,0.929163804,0.070836196,0.919014352,0.939313256,0.060686744,0.080985648
65-70,2015,woman,0.913060554,0.086939446,0.901429699,0.924691408,0.075308592,0.098570301
70-75,2015,woman,0.874614203,0.125385797,0.858434149,0.890794257,0.109205743,0.141565851
75-80,2015,woman,0.804968004,0.195031996,0.783200829,0.82673518,0.17326482,0.216799171
80+,2015,woman,0.608253995,0.391746005,0.584485521,0.632022469,0.367977531,0.415514479
50-55,2015,man,0.948322252,0.051677748,0.9339512,0.962693304,0.037306696,0.0660488
55-60,2015,man,0.943956715,0.056043285,0.929498347,0.958415083,0.041584917,0.070501653
60-65,2015,man,0.922070639,0.077929361,0.906138823,0.938002455,0.061997545,0.093861177
65-70,2015,man,0.919250778,0.080749222,0.907907403,0.930594153,0.069405847,0.092092597
70-75,2015,man,0.876527203,0.123472797,0.857984468,0.895069939,0.104930061,0.142015532
75-80,2015,man,0.851102302,0.148897698,0.831771262,0.870433341,0.129566659,0.168228738
80+,2015,man,0.702070721,0.297929279,0.677352835,0.726788608,0.273211392,0.322647165
