Country,Index,LEWD,,DFLE
USA,0.74,1.39,,1.59
China,0.68,3.02,,0.79
Mexico,0.7,1.93,,0.71
India,0.66,1.79,,-0.16
Korea,0.65,1.49,,3.27
England,0.76,1.08,,1.6
Europe,0.74,2.07,,1.94
Austria,0.73,1.64,,2.06
Belgium,0.75,2.55,,0.98
Croatia,0.71,2.16,,2.09
Czechia,0.69,1.68,,2.49
Denmark,0.77,0.08,,2.92
Estonia,0.75,2.24,,3.58
France,0.76,1.7,,2.83
Germany,0.78,1.52,,2.12
Greece,0.69,1.7,,1.86
Israel,0.71,1.7,,1.13
Italy,0.73,2.65,,0.86
Luxembourg,0.74,1.91,,1.08
Poland,0.72,2.03,,2.97
Portugal,0.73,4.83,,-0.69
Slovenia,0.78,1.34,,2.89
Spain,0.74,2.29,,2.07
Sweden,0.82,0.71,,2.02
Switzerland,0.79,0.89,,2.38
